Gene,log2FoldChange,padj
Gmps,-6.935949981,0.005303487
4933437G19Rik,5.584933984,0.014856935
Adprm,-21.59758554,1.70E-08
Rtl8c,10.11196853,1.03E-07
AC137853.1,5.371045432,0.028069017
Scx,5.806842473,0.011667566
Gm43790,5.839134387,0.029502391
Ccdc173,-5.661060574,0.006065488
Mir7028,-4.560032244,0.021211602
Lgals3,7.044976222,0.000148269
Gfpt1,4.206944115,0.044163646
Gm23205,-3.972986831,0.04783614
Yif1b,-5.844859217,0.009272721
Gm37545,23.45074283,6.94E-07
Brox,-5.617615547,0.020227406
Dtx3,-4.739272278,0.046494349
Ttc33,26.66361946,5.00E-10
Gm43311,-5.385549484,0.003312156
Gm44851,-5.985769165,0.002901724
Sppl3,-25.9633952,1.11E-08
Gm43726,-5.953605584,0.008228609
Gm10638,-22.13738086,3.18E-07
Zap70,-6.043732097,0.002824311
Ppp1r1a,7.123488945,0.001246115
Mir7080,-3.63231402,0.023682015
Gm49832,-4.533163306,0.028148565
Gm38336,7.65883356,0.00098205
Psmd1,-5.899266204,0.010248463
Gm9385,5.122043001,0.017945387
Ube2ql1,5.139265881,0.025471843
Gm15182,-6.544539362,0.000187217
Scarna17,5.158499838,0.021266621
Gm37217,6.473608614,0.010674219
Slc39a9,-26.30549799,1.13E-08
Gm5374,5.350745506,0.044867913
Ndel1,26.13512108,1.47E-08
Gm26167,5.063174848,0.044259835
Sult1a1,25.00029768,2.12E-09
Gm38244,-5.708527975,0.007420455
Net1,27.51088208,1.53E-09
3830408C21Rik,-5.744970123,0.004727719
Gbp9,-32.25067461,2.63E-13
Gbp5,-19.59451379,9.91E-05
Myh10,23.31948734,7.98E-07
Med16,24.68139064,1.19E-07
Med19,20.87649657,2.03E-05
Gm19391,6.294515304,0.011608475
Oat,6.164156984,0.018427099
Gm7514,4.507144928,0.021620285
Gm7497,-4.157882578,0.043310385
Mrpl37,4.459636926,0.043932852
Snf8,30.13994695,2.35E-14
Mto1,-34.60440929,3.31E-15
Mif4gd,4.690947194,0.021408539
Exoc5,24.19890781,2.41E-07
Actg1,6.435039738,0.024072301
3110056K07Rik,-6.798038091,0.002924292
Gm27761,-22.76788239,1.65E-06
Gm18745,-4.831690715,0.028069017
Tmx2,7.478750466,9.01E-05
5430416N02Rik,-6.115670759,0.007911647
Raver1,-5.457992901,0.020693065
Rit1,6.48685144,0.001353488
Cxcl9,-32.8185251,8.80E-14
Nme2,23.82566474,3.99E-07
Cox5a,-6.461704652,0.000261604
Gatm,6.200231476,0.002010608
Gm44247,7.603865546,0.000333505
Ubiad1,6.731955724,0.011431619
Emcn,4.568315791,0.024619295
Lmbr1l,4.89312747,0.024408452
Gm18853,4.682453103,0.045248406
Slc35b1,-5.832345498,0.005466392
Gm10913,6.68392025,0.004113391
Gm20691,5.700126098,0.021959626
Gm7054,-6.22609339,0.020849887
Nudt5,-5.810693692,0.016281608
Gm9514,4.272157353,0.028585474
Gm43304,-5.119890718,0.028949326
Asl,4.728236986,0.034050478
Pid1,6.092837615,0.002793949
Gm15725,29.6784765,3.53E-11
Grip2,-5.819351453,0.002858669
Gm29704,5.828569965,0.005151677
Zfp664,5.066722461,0.010303118
Gm6263,-5.917511069,0.024204727
Cdpf1,31.02613101,1.30E-16
5031439G07Rik,5.744703499,0.006443147
Rrn3,-5.879843023,0.024408452
Ndufb7,6.253898687,0.002837116
Ndufb4,-6.78858415,3.02E-05
Mdp1,-6.196964115,0.001233923
Gm13694,-5.362222173,0.010799025
Gm50003,5.187783826,0.028431538
Ccdc34,-6.377157795,0.007120973
Pcyox1,4.980800204,0.028585474
Ensa,5.898572087,0.024072301
Camk1d,5.177382051,0.002677515
Gm16574,-23.42896366,7.01E-07
Ndufa3,6.843901168,0.023282119
Gm19498,-7.549150786,0.000311517
5430427N15Rik,4.725630182,0.023282119
Atmin,9.193048374,1.00E-07
