Gene,cluster,padj
Myadm,1,0.030216872
Adap1,1,0.041074199
Pin1,1,0.014494677
Tssk1,1,0.023723319
Gm12535,1,0.007548196
Blcap,1,0.025818717
Gm3086,1,0.019134692
Nat10,1,0.005288387
Mrpl33,1,0.032892071
Gm45670,1,0.028344724
Tpm3.rs7,1,0.025422959
Srxn1,1,0.004922591
Gm45705,1,0.041930621
Gm49146,1,0.020676127
Gm18853,1,0.002481236
Gm10913,1,0.02839665
X4931440F15Rik,1,0.014295024
Gm47996,1,0.00222605
Gm29704,1,0.037617441
Tns3,1,0.021285613
Zfand2b,1,0.029296095
Arsa,1,0.037821028
Gm4356,1,0.028692727
Ccny,1,0.002292952
Unk,1,0.047360853
Eif2b2,1,0.012133404
Camk1d,1,0.018575495
Gm12630,1,0.0494134
Vdac2,1,0.002332596
Mfsd10,1,0.034264165
Gabarap,1,0.001839107
Gm9430,1,0.016522256
Gm2223,1,0.00041214
Gm19739,1,0.001714805
H3f3a,1,0.033713329
Cbx3.ps4,1,0.031358779
Gm43748,1,0.032260218
Ap3s1.ps2,1,0.033696932
Gm47986,1,0.038238953
Gm47985,1,0.01611748
Gm13675,1,0.013666144
Tpd52l2,1,0.044645223
Ctdspl2,1,0.00775053
Dpy19l3,1,0.008650313
X6430710M23Rik,1,0.038796696
X4631422I05Rik,1,0.036216179
Gpx1,1,0.030795431
Gm6710,1,0.002190988
Lpin2,1,0.030242518
Anp32b,1,0.01321255
Gm43333,1,0.045563865
Adcy5,1,0.014831724
H2.T23,1,0.021045643
Gm7281,1,0.021273306
Ocrl,1,0.000878888
Nid2,1,0.016522256
Gm18169,1,0.018677655
Caprin1,1,0.003908656
Gm13120,1,0.027816454
Grsf1,1,0.004352013
Pnpla2,1,0.003399826
X1700051K13Rik,1,0.046430385
Abra,1,0.003772181
Qrsl1,1,0.027539821
Mon1a,1,0.034873662
Cldn23,1,0.049422708
Tmem38b,1,0.03377391
Gm9095,1,0.011725245
Gm14296,1,0.011844087
Gm14295,1,0.042770375
Uggt1,1,0.00830547
X6430511E19Rik,1,0.032415118
Zfp703,1,0.003459342
Igfbp4,1,0.038772383
Pip5k1a,1,0.001808281
Erlec1,1,0.042444711
Aifm1,1,0.045954718
Gm10053,1,0.000187638
Zfp830,1,0.002123009
Gm43266,1,0.021043647
Pdcd2,1,0.006380846
Gm42798,1,0.022422629
Ttc32,1,0.028261431
Irak1,1,0.042384199
Gm23889,1,0.012431866
Itprid2,1,0.005725885
Gm49588,1,0.000345594
Katnb1,1,0.010105989
Gm6733,1,0.028099764
Gm9836,1,0.048857736
X2810405F17Rik,1,0.000667051
Scrn2,1,0.032060168
Hist1h2af,1,0.003550614
C030015A19Rik,1,0.007548196
AL626765.1,1,0.016381275
Gm43288,1,0.000478176
Cnih1,1,0.006057165
Chst12,1,0.020893821
Gm9104,1,0.003217566
X1110008P14Rik,1,0.005965652
Gm39288,1,0.003497343
Gm4535,1,0.039221785
Gm4734,1,0.03377126
Tubb4b.ps2,1,0.004352013
Ahcy,1,0.042770375
Nae1,1,0.005535073
Gm7859,1,0.031045277
Gm18042,1,0.014006153
Tspan13,1,0.009591679
Zfp597,1,0.021008707
A230052G05Rik,1,0.042457175
Bcap29,1,0.021460814
Gm11383,1,0.02838678
E230013L22Rik,1,0.017655449
Gm5883,1,0.021391315
Gm45113,1,0.007885005
Acot6,1,0.011347395
Gm5674,1,0.019978088
Gm42535,1,0.040152484
Gm6751,1,0.005566556
Gm9812,1,0.020029204
Intu,1,0.045424862
Gm15493,1,0.024950806
Hexim1,1,0.004376667
Cnksr1,1,0.007399094
Gm4066,1,0.017655449
Pdcd6ip,1,0.020203756
Dpy30,1,0.038079018
Washc3,1,0.038796696
Gm44423,1,0.032076066
Snx33,1,0.000449974
Stk39,1,0.006194364
Selenoo,1,0.041548507
Zfp553,1,0.045462112
Cd9,1,0.033436136
Cda,1,0.040634558
Dpyd,1,0.020813156
Epc1,1,0.00310461
Vmn1r2,1,0.001757681
Bcs1l,1,0.020593162
Extl2,1,0.004922591
Gm8607,1,0.034945212
Gm17136,1,0.002985733
Dut,1,0.040519958
Gm6157,1,0.032680765
Gm9081,1,0.04131825
Gm45331,1,0.002332596
Gm47525,1,0.009603968
Gm44597,1,0.047206948
Tcaim,1,0.019679258
Gm48701,1,0.034766621
Ybx3,1,0.019289283
Fan1,1,0.014445576
Fam173a,1,0.033449543
Gm47305,1,0.034873662
Mir6946,1,0.002292952
Gm7691,1,0.002292952
Gm7156,1,0.011392869
Gm37061,1,0.0087061
Il18bp,1,0.023837101
Htra1,1,0.001081874
Stimate,1,0.047407266
Gm16198,1,0.011175479
Gm20108,1,0.035081009
Dctn4,1,0.000119535
Arhgef6,1,0.022814651
Gm11362,1,0.005566556
Gpr68,1,0.044306619
Nubp1,1,0.040818225
Gtf2f2,1,0.049684256
Tmem250.ps,1,0.012009654
Hebp1,1,0.035149452
Gm43582,1,0.00050083
Rpl37rt,1,0.003555974
Shisa4,1,0.019221041
Scamp2,1,0.006587977
Cenpk,1,0.019094213
Gm37832,1,0.010551229
Paip1,1,0.027028121
Zfp950,1,0.005436835
Gm2147,1,0.041281286
Slc25a36,1,0.00095051
Ran,1,0.010307764
Dcaf10,1,0.041154339
Arhgef25,2,0.00095051
Usp1,2,0.011347395
Rtl8c,2,0.000449974
Rtl8a,2,0.001139196
Fndc10,2,0.032662513
Gm44252,2,0.01030276
Gm8767,2,3.49E-05
Gm23205,2,0.011330167
Dusp7,2,0.004312486
Gm16218,2,0.035763119
Gm46448,2,0.021072479
Gm26741,2,0.04494305
Ripk1,2,0.006587977
Stub1,2,0.012335945
Gm21063,2,0.003462303
Gm10358,2,0.022628581
Ubp1,2,0.028329896
Rnf6,2,0.00310461
Fstl1,2,0.026729448
Gm16134,2,0.044516577
Gm28530,2,0.028313326
Bcl9,2,0.016572417
Fbxl14,2,0.034909877
Cxcl10,2,0.027502632
Riok2,2,0.031933305
Tmem59,2,0.038731107
Tes,2,0.017458074
Trim35,2,0.007051298
Cabcoco1,2,0.001749676
Polr2l,2,0.003702986
Gm45457,2,0.00745479
Gna15,2,0.009336783
Eid2b,2,0.008197189
Gm12920,2,0.046356214
Mprip,2,0.001626026
Gm48314,2,0.016545612
E230020D15Rik,2,0.014445576
Gm37447,2,0.044677292
Fut11,2,0.02825728
Ddb2,2,0.006380846
Trim28,2,0.001344896
Spata5l1,2,0.043240485
Gm14056,2,0.031709675
Pikfyve,2,0.008184428
Parp16,2,0.049724591
Samhd1,2,0.029795581
Gm5190,2,0.006868684
AC127249.1,2,0.022616205
Gm5847,2,0.043182507
Glb1l2,2,0.004342633
Gm12955,2,0.017920953
Mettl22,2,0.016522256
Hscb,2,1.78E-05
Gm20784,2,0.009591679
Gm43216,2,0.012567329
Amacr,2,0.004994207
Gm45221,2,0.019994366
Sobp,2,0.021968842
X4930447C11Rik,2,0.04213778
AU040320,2,0.003968707
Setdb1,2,0.037611982
Rpl34.ps2,2,0.04879975
Nhej1,2,0.02501364
Gm12251,2,0.020893821
Med28,2,0.012346807
Exoc6,2,0.017311224
Gm4609,2,0.024694393
X0610025J13Rik,2,0.02527939
Mdh1,2,0.042568991
Tbc1d14,2,0.001307277
AC109152.1,2,0.012335945
Stox2,2,0.032574363
Nle1,2,0.019754365
Sep-11,2,0.040890109
Hpgd,2,0.013299862
Gm7854,2,0.006868684
Gm11452,2,0.037806883
Atp5g2,2,0.041026107
Skap2,2,0.01070379
AC152396.2,2,0.006380846
Gm48742,2,0.036595215
Gm9727,2,0.002109973
Cs,2,0.031186011
X4930426L09Rik,2,1.27E-05
Kansl3,2,0.003214452
Gm10241,2,0.025711049
Stxbp3,2,0.004296155
Gm45244,2,0.032945027
Gm44773,2,0.000507024
Gm9396,2,0.023125215
Gm9333,2,0.028256143
Gm3671,2,0.027498699
Hey2,2,0.025858038
Ndufaf1,2,0.006942505
